Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2025-06-05,284.70001220703125,324.54998779296875,273.2099914550781,322.489990234375,287499800
2025-06-06,295.1400146484375,305.5,291.1400146484375,298.8299865722656,164747700
2025-06-09,308.5799865722656,309.8299865722656,281.8500061035156,285.9599914550781,140908900
2025-06-10,326.0899963378906,327.8299865722656,310.6700134277344,314.94000244140625,151256500
2025-06-11,326.42999267578125,335.5,322.5,334.3999938964844,122611400
2025-06-12,319.1099853515625,332.55999755859375,316.8599853515625,323.0799865722656,105127500
2025-06-13,325.30999755859375,332.989990234375,313.29998779296875,313.9700012207031,128964300
2025-06-16,329.1300048828125,332.04998779296875,326.4100036621094,331.2900085449219,83925900
2025-06-17,316.3500061035156,327.260009765625,314.739990234375,326.0899963378906,88282700
2025-06-18,322.04998779296875,329.32000732421875,315.45001220703125,317.30999755859375,95137700
2025-06-20,322.1600036621094,332.3599853515625,317.7799987792969,327.95001220703125,108688000
2025-06-23,348.67999267578125,357.5400085449219,327.4800109863281,327.5400085449219,190716800
2025-06-24,340.4700012207031,356.260009765625,340.44000244140625,356.1700134277344,114736200
2025-06-25,327.54998779296875,343.0,320.3999938964844,342.70001220703125,119845100
2025-06-26,325.7799987792969,331.04998779296875,323.6099853515625,324.6099853515625,80440900
2025-06-27,323.6300048828125,329.3399963378906,317.5,324.510009765625,89067000
2025-06-30,317.6600036621094,325.5799865722656,316.6000061035156,319.8999938964844,76695100
2025-07-01,300.7099914550781,305.8900146484375,293.2099914550781,298.4599914550781,145085700
2025-07-02,315.6499938964844,316.8299865722656,303.82000732421875,312.6300048828125,119191500
2025-07-03,315.3500061035156,318.45001220703125,312.760009765625,317.989990234375,58042300
