ticker,date,close,predicted,signal
AAPL,748,212.44000244140625,212.09326349572441,SELL
AMD,748,138.52000427246094,138.4393609290122,SELL
AMZN,748,219.9199981689453,220.08152079956704,BUY
GOOGL,748,178.63999938964844,178.37541458663537,SELL
META,748,713.5700073242188,715.2178718407781,BUY
MSFT,748,491.0899963378906,491.04439758552394,SELL
NFLX,748,1284.8599853515625,1289.6427432499609,BUY
NVDA,748,157.25,156.8547966243978,SELL
SPY,748,620.4500122070312,619.78197185145,SELL
TSLA,748,315.6499938964844,314.5288560954788,SELL
